height_km,temp_K,pressure_hPa,wvd_gm3,n
51.5,270.4088626,0.662175882,0,1.00000019
52,269.0313819,0.622173456,0,1.00000018
52.5,267.654116,0.584406365,0,1.000000169
53,266.2770651,0.548759895,0,1.00000016
53.5,264.9002289,0.515124696,0,1.000000151
54,263.5236076,0.483396551,0,1.000000142
54.5,262.1472009,0.453476159,0,1.000000134
55,260.7710089,0.425268928,0,1.000000127
55.5,259.3950315,0.398684772,0,1.000000119
56,258.0192687,0.373637921,0,1.000000112
56.5,256.6437205,0.350046728,0,1.000000106
57,255.2683866,0.327833498,0,1.0000001
57.5,253.8932672,0.306924309,0,1.000000094
58,252.5183622,0.287248852,0,1.000000088
58.5,251.1436715,0.268740269,0,1.000000083
59,249.7691951,0.251335002,0,1.000000078
59.5,248.3949328,0.234972643,0,1.000000073
60,247.0208848,0.219595799,0,1.000000069
60.5,245.6470508,0.205149949,0,1.000000065
61,244.273431,0.191583322,0,1.000000061
61.5,242.9000251,0.178846768,0,1.000000057
62,241.5268332,0.166893636,0,1.000000054
62.5,240.1538552,0.155679666,0,1.00000005
63,238.7810911,0.145162873,0,1.000000047
63.5,237.4085408,0.135303444,0,1.000000044
64,236.0362043,0.126063636,0,1.000000041
64.5,234.6640815,0.117407681,0,1.000000039
65,233.2921724,0.10930169,0,1.000000036
65.5,231.9204769,0.101713564,0,1.000000034
66,230.5489949,0.094612912,0,1.000000032
66.5,229.1777265,0.087970967,0,1.00000003
67,227.8066715,0.081760507,0,1.000000028
67.5,226.43583,0.075955782,0,1.000000026
68,225.0652018,0.070532441,0,1.000000024
68.5,223.6947869,0.065467464,0,1.000000023
69,222.3245853,0.060739096,0,1.000000021
69.5,220.954597,0.056326786,0,1.00000002
70,219.5848218,0.052211125,0,1.000000019
70.5,218.2152597,0.048373789,0,1.000000017
71,216.8459107,0.044797486,0,1.000000016
71.5,215.4767747,0.0414659,0,1.000000015
72,214.2627512,0.038364705,0,1.000000014
72.5,213.2851011,0.035481756,0,1.000000013
73,212.3076031,0.032804075,0,1.000000012
73.5,211.3302571,0.030317861,0,1.000000011
74,210.3530631,0.028010188,0,1.00000001
74.5,209.376021,0.025868948,0,1.00000001
75,208.3991308,0.023882807,0,1.000000009
75.5,207.4223925,0.022041157,0,1.000000008
76,206.445806,0.020334073,0,1.000000008
76.5,205.4693714,0.01875227,0,1.000000007
77,204.4930885,0.017287065,0,1.000000007
77.5,203.5169573,0.015930343,0,1.000000006
78,202.5409779,0.01467452,0,1.000000006
78.5,201.56515,0.013512509,0,1.000000005
79,200.5894739,0.012437693,0,1.000000005
79.5,199.6139493,0.011443892,0,1.000000004
80,198.6385763,0.010525341,0,1.000000004
80.5,197.6633547,0.009676659,0,1.000000004
81,196.6882847,0.008892826,0,1.000000004
