Lat_degN,Lon_degE,hs_km,SatLon_degE,P_percent,f_GHz,ElevationAngle_deg,PolarizationTiltAngle_deg,A_p,Cf,V_f,Ca,C_tau,C_theta,C_sigma,XPD_Rain,C_ice,XPD_p
25.78,-80.22,0.00861728,-100,0.001,14.25,52.67898486,0,29.9309477,34.09918647,21.20482994,31.3008835,14.94850022,8.69306671,1.1925,27.6323699,0,27.6323699
22.9,-43.23,0,-100,1,29,22.27833468,0,6.81336808,42.12234795,22.6,18.83397785,14.94850022,1.34769995,0,39.58457026,5.93768554,33.64688472
25.78,-80.22,0.00861728,-100,1,29,52.67898486,0,6.65485565,42.12234795,22.6,18.60293326,14.94850022,8.69306671,0,47.16098162,7.07414724,40.08683438
22.9,-43.23,0,-100,0.1,29,22.27833468,0,29.31896844,42.12234795,22.6,33.1575603,14.94850022,1.34769995,0.1325,25.39348781,2.53934878,22.85413903
25.78,-80.22,0.00861728,-100,0.1,29,52.67898486,0,25.56295492,42.12234795,22.6,31.81200982,14.94850022,8.69306671,0.1325,34.08440505,3.40844051,30.67596455
22.9,-43.23,0,-100,0.01,29,22.27833468,0,59.62576355,42.12234795,22.6,40.12480735,14.94850022,1.34769995,0.53,18.82374076,0.94118704,17.88255372
25.78,-80.22,0.00861728,-100,0.01,29,52.67898486,0,58.47438336,42.12234795,22.6,39.93342371,14.94850022,8.69306671,0.53,26.36049117,1.31802456,25.04246661
22.9,-43.23,0,-100,0.001,29,22.27833468,0,83.5996391,42.12234795,22.6,43.4418195,14.94850022,1.34769995,1.1925,16.16922861,0,16.16922861
25.78,-80.22,0.00861728,-100,0.001,29,52.67898486,0,93.39562548,42.12234795,22.6,44.52937969,14.94850022,8.69306671,1.1925,22.42703519,0,22.42703519
28.717,77.3,0.2093837,100,1,14.25,48.24117054,90,1.27446361,34.09918647,21.20482994,2.23345044,14.94850022,7.06111879,0,53.87535504,8.08130326,45.79405178
3.133,101.7,0.05125146,100,1,14.25,85.80459566,90,2.00102665,34.09918647,21.20482994,6.38801593,14.94850022,45.42947884,0,88.0891496,13.21337244,74.87577716
9.05,38.7,2.53986188,100,1,14.25,20.14335809,90,1.01235397,34.09918647,21.20482994,0.11307243,14.94850022,1.09644908,0,50.03106334,7.5046595,42.52640384
28.717,77.3,0.2093837,100,0.1,14.25,48.24117054,90,5.48634697,34.09918647,21.20482994,15.67637602,14.94850022,7.06111879,0.1325,40.56492946,4.05649295,36.50843652
3.133,101.7,0.05125146,100,0.1,14.25,85.80459566,90,11.00145492,34.09918647,21.20482994,22.08377276,14.94850022,45.42947884,0.1325,72.52589277,7.25258928,65.27330349
9.05,38.7,2.53986188,100,0.1,14.25,20.14335809,90,5.88107131,34.09918647,21.20482994,16.31619307,14.94850022,1.09644908,0.1325,33.9604427,3.39604427,30.56439843
28.717,77.3,0.2093837,100,0.01,14.25,48.24117054,90,14.87213733,34.09918647,21.20482994,24.8599783,14.94850022,7.06111879,0.53,31.77882718,1.58894136,30.18988582
3.133,101.7,0.05125146,100,0.01,14.25,85.80459566,90,21.61057916,34.09918647,21.20482994,28.30137417,14.94850022,45.42947884,0.53,66.70579136,3.33528957,63.37050179
9.05,38.7,2.53986188,100,0.01,14.25,20.14335809,90,12.28976033,34.09918647,21.20482994,23.1035828,14.94850022,1.09644908,0.53,27.57055297,1.37852765,26.19202532
28.717,77.3,0.2093837,100,0.001,14.25,48.24117054,90,28.23603149,34.09918647,21.20482994,30.76404484,14.94850022,7.06111879,1.1925,26.53726064,0,26.53726064
3.133,101.7,0.05125146,100,0.001,14.25,85.80459566,90,28.81950409,34.09918647,21.20482994,30.95240407,14.94850022,45.42947884,1.1925,64.71726146,0,64.71726146
9.05,38.7,2.53986188,100,0.001,14.25,20.14335809,90,17.44199306,34.09918647,21.20482994,26.32783436,14.94850022,1.09644908,1.1925,25.00880141,0,25.00880141
28.717,77.3,0.2093837,100,1,29,48.24117054,90,5.88782187,42.12234795,22.6,17.40097537,14.94850022,7.06111879,0,46.73099158,7.00964874,39.72134285
3.133,101.7,0.05125146,100,1,29,85.80459566,90,10.2131477,42.12234795,22.6,22.80700725,14.94850022,45.42947884,0,79.69331976,11.95399796,67.7393218
9.05,38.7,2.53986188,100,1,29,20.14335809,90,3.70158394,42.12234795,22.6,12.84555981,14.94850022,1.09644908,0,45.32173743,6.79826061,38.52347682
28.717,77.3,0.2093837,100,0.1,29,48.24117054,90,22.22622902,42.12234795,22.6,30.43916674,14.94850022,7.06111879,0.1325,33.82530021,3.38253002,30.44277019
3.133,101.7,0.05125146,100,0.1,29,85.80459566,90,48.81996807,42.12234795,22.6,38.1623033,14.94850022,45.42947884,0.1325,64.47052371,6.44705237,58.02347134
9.05,38.7,2.53986188,100,0.1,29,20.14335809,90,19.23910378,42.12234795,22.6,29.02257732,14.94850022,1.09644908,0.1325,29.27721992,2.92772199,26.34949793
28.717,77.3,0.2093837,100,0.01,29,48.24117054,90,52.83372062,42.12234795,22.6,38.93779301,14.94850022,7.06111879,0.53,25.72417394,1.2862087,24.43796524
3.133,101.7,0.05125146,100,0.01,29,85.80459566,90,83.37856227,42.12234795,22.6,43.41582949,14.94850022,45.42947884,0.53,59.61449752,2.98072488,56.63377264
9.05,38.7,2.53986188,100,0.01,29,20.14335809,90,35.97037673,42.12234795,22.6,35.16435669,14.94850022,1.09644908,0.53,23.53294055,1.17664703,22.35629352
28.717,77.3,0.2093837,100,0.001,29,48.24117054,90,87.96233699,42.12234795,22.6,43.94110676,14.94850022,7.06111879,1.1925,21.3833602,0,21.3833602
3.133,101.7,0.05125146,100,0.001,29,85.80459566,90,96.67521082,42.12234795,22.6,44.86812189,14.94850022,45.42947884,1.1925,58.82470512,0,58.82470512
9.05,38.7,2.53986188,100,0.001,29,20.14335809,90,45.67419098,42.12234795,22.6,37.50856152,14.94850022,1.09644908,1.1925,21.85123573,0,21.85123573
