Lat_degN,Lon_degE,hs_km,SatLon_degE,f_GHz,ElevationAngle_deg,AntennaDiameter_m,AntennaEfficiency_h,p_percent,MedianNwet_P453,sref_dB,L_m,x,gx,s,As_dB,ast_e_f,Ast_dB
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.21564126,2.672,-0.192064482
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,1,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.22167129,2.672,-0.197435229
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,1,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,0.48533989,2.672,-0.432276053
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,0.1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.34811687,3.9062,-0.280779297
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,0.1,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.35785134,3.9062,-0.288630798
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,0.1,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,0.78350036,3.9062,-0.63194488
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,0.01,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.5172515,5.3316,-0.383237647
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,0.01,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.53171552,5.3316,-0.393954217
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,0.01,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,1.16416861,5.3316,-0.862546035
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,1,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.25993253,2.672,-0.231513249
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,1,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.26653912,2.672,-0.237397501
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,1,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,0.58774465,2.672,-0.523484559
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,0.1,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.41961775,3.9062,-0.338449496
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,0.1,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.43028298,3.9062,-0.34705169
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,0.1,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,0.94881577,3.9062,-0.765282704
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,0.01,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.6234915,5.3316,-0.46195211
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,0.01,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.6393385,5.3316,-0.473693306
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,0.01,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,1.40980349,5.3316,-1.044539774
